bundle_id,client_ip,round,upload_start_s,upload_end_s,upload_duration_s,triggered_inside,trigger_count_inside,first_trigger_s,trigger_latency_s,ground_truth_quality
bundle_0575,10.42.0.47,61,1785014952.6366246,1785014952.7368314,0.10020685195922852,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,62,1785014959.16792,1785014959.2681246,0.1002044677734375,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,63,1785014968.4319005,1785014968.532129,0.10022854804992676,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,64,1785014977.2015295,1785014977.3018284,0.10029888153076172,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,65,1785014984.5105937,1785014984.6107817,0.10018801689147949,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,66,1785014993.2808876,1785014993.3810697,0.10018205642700195,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,67,1785015001.0620158,1785015001.1623142,0.10029840469360352,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,68,1785015008.2615526,1785015008.361776,0.10022354125976562,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,69,1785015014.690657,1785015014.7909155,0.10025858879089355,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,70,1785015024.3814783,1785015024.4818895,0.10041117668151855,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,71,1785015030.6060865,1785015030.706436,0.10034942626953125,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,72,1785015040.0418217,1785015040.1420388,0.10021710395812988,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,73,1785015048.1102378,1785015048.2104218,0.10018396377563477,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,74,1785015056.5606215,1785015056.6608856,0.10026407241821289,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,75,1785015065.999345,1785015066.0996437,0.10029864311218262,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,76,1785015074.1440918,1785015074.244389,0.10029721260070801,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,77,1785015080.6993756,1785015080.7996764,0.10030078887939453,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,78,1785015090.9700558,1785015091.0703485,0.10029268264770508,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,79,1785015096.856248,1785015096.9566455,0.10039758682250977,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,80,1785015106.1365955,1785015106.2368906,0.1002950668334961,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,81,1785015114.0887008,1785015114.1892514,0.10055065155029297,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,82,1785015120.9555943,1785015121.055894,0.10029959678649902,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,83,1785015131.8269324,1785015131.9272275,0.1002950668334961,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,84,1785015141.9940467,1785015142.0942602,0.10021352767944336,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,85,1785015151.497253,1785015151.5974674,0.10021448135375977,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,86,1785015159.7514887,1785015159.8517883,0.10029959678649902,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,87,1785015167.02609,1785015167.1263094,0.1002194881439209,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,88,1785015174.0170095,1785015174.1172245,0.10021495819091797,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,89,1785015181.6132348,1785015181.7135344,0.10029959678649902,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,90,1785015189.3053432,1785015189.405893,0.10054993629455566,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,91,1785015200.253271,1785015200.353575,0.10030388832092285,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,92,1785015207.5243938,1785015207.6247065,0.10031270980834961,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,93,1785015214.3068454,1785015214.407029,0.10018348693847656,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,94,1785015223.0639334,1785015223.1642234,0.10029006004333496,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,95,1785015230.5671682,1785015230.667384,0.10021567344665527,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,96,1785015239.99543,1785015240.095789,0.10035896301269531,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,97,1785015245.108377,1785015245.208756,0.10037899017333984,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,98,1785015253.0062196,1785015253.1067855,0.10056591033935547,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,99,1785015261.9076366,1785015262.0078535,0.10021686553955078,False,0,,,client_serialization_interval_only
bundle_0575,10.42.0.47,100,1785015269.8836238,1785015269.983924,0.10030007362365723,False,0,,,client_serialization_interval_only
