track,condition,experiment,round_quality,seq_quality,n_rounds,phase_idle_duration_mean_s,phase_download_duration_mean_s,phase_training_duration_mean_s,phase_upload_duration_mean_s,download_precision,download_recall,download_f1,training_precision,training_recall,training_f1,upload_precision,upload_recall,upload_f1,_n_classified,decision_lag_mean_ms
Autoencoder,attack,/home/lawrence/Lawrence/FL_poison/Result/Autoencoder/proxy/attack/fedavg/scale/exp2,0.992,0.992,500,11.606251287460328,1.6616673579656456,0.46770679471961946,6.792256774672543,0.37640449438202245,0.67,0.48201438848920863,0.3597122302158273,0.1,0.1564945226917058,0.0,0.0,0.0,1500,386.17072021370967
Autoencoder,attack,/home/lawrence/Lawrence/FL_poison/Result/Autoencoder/proxy/attack/fedavg/sign_flip/exp1,0.996,0.996,500,20.658824634552,1.6843358469775402,0.22997574633862597,6.146976748623523,0.31126482213438733,0.63,0.4166666666666667,0.23893805309734514,0.054,0.08809135399673736,0.0,0.0,0.0,1500,407.44158988955814
Autoencoder,attack,/home/lawrence/Lawrence/FL_poison/Result/Autoencoder/proxy/attack/flame/min_max/exp1,0.9875,0.9875,400,6.446583390235901,1.3549801225614067,0.07574212912357209,7.666273611964601,0.3283582089552239,0.55,0.411214953271028,0.0,0.0,0.0,0.0,0.0,0.0,1200,
Autoencoder,attack,/home/lawrence/Lawrence/FL_poison/Result/Autoencoder/proxy/attack/flame/noise/exp1,0.995,0.995,400,11.759250700473785,1.718555718810115,0.5373792480583766,6.473681223452391,0.33161290322580644,0.6425,0.4374468085106383,0.35119047619047616,0.1475,0.20774647887323944,0.0,0.0,0.0,1200,372.37206652010053
Autoencoder,attack,/home/lawrence/Lawrence/FL_poison/Result/Autoencoder/proxy/attack/flame/scale/exp1,1.0,1.0,500,10.385433387756347,1.4866870489120483,0.4751243824958801,6.811242744445801,0.3333333333333333,0.84,0.4772727272727273,0.37037037037037035,0.12,0.18126888217522658,0.0,0.0,0.0,1500,354.873475528
Autoencoder,attack,/home/lawrence/Lawrence/FL_poison/Result/Autoencoder/proxy/attack/flame/sign_flip/exp1,0.99,0.99,500,8.800275468826294,1.6685839800104019,0.469388751253005,6.810280062979268,0.35423925667828104,0.61,0.4481998530492285,0.3103448275862069,0.09,0.13953488372093023,0.0,0.0,0.0,1500,405.63545957979795
Autoencoder,attack,/home/lawrence/Lawrence/FL_poison/Result/Autoencoder/proxy/attack/krum/min_max/exp1,0.992,0.992,500,63.73099064826965,1.7133864209925385,0.34812261353076346,6.5782390537876,0.36778523489932885,0.548,0.44016064257028115,0.3356164383561644,0.098,0.15170278637770898,0.0,0.0,0.0,1500,406.06463584274195
Autoencoder,attack,/home/lawrence/Lawrence/FL_poison/Result/Autoencoder/proxy/attack/krum/min_sum/exp1,0.994,0.992,500,7.979278326034546,1.728334683932379,0.32189549281745256,6.440998954466548,0.3239299610894942,0.666,0.43586387434554974,0.36879432624113473,0.104,0.1622464898595944,0.0,0.0,0.0,1500,400.22681287701613
Autoencoder,attack,/home/lawrence/Lawrence/FL_poison/Result/Autoencoder/proxy/attack/krum/noise/exp1,0.994,0.994,500,26.76643795967102,1.6276003940995918,0.2792903558317437,6.011539857550319,0.34014300306435136,0.666,0.45030425963488846,0.2890625,0.074,0.1178343949044586,0.0,0.0,0.0,1500,413.06527410663983
Autoencoder,attack,/home/lawrence/Lawrence/FL_poison/Result/Autoencoder/proxy/attack/krum/scale/exp1,0.986,0.986,500,6.652119970321655,1.6187687132093642,0.34018137479069255,6.0539705570298015,0.3626882966396292,0.626,0.45928099779897286,0.3492063492063492,0.088,0.14057507987220447,0.0,0.0,0.0,1500,403.1279185598377
