bundle_id,condition,round,source,global_accuracy,global_macro_f1,global_loss,aggregation_duration_s,evaluation_duration_s,phase_duration_s,accuracy,f1_score,loss,fit_duration_s,train_duration_s
bundle_0002,flame_blind,87,server,0.7560230743128605,0.7529221061939769,0.8504807414303078,0.0022845268249511,0.2872650623321533,0.3129613399505615,,,,,
bundle_0002,flame_blind,88,server,0.7210722768917543,0.7186068545576245,0.9273248484145192,0.0040607452392578,0.2715573310852051,0.2981612682342529,,,,,
bundle_0002,flame_blind,89,server,0.7631489650492026,0.7581177772191933,0.8833860236181823,0.004127025604248,0.2444627285003662,0.2709226608276367,,,,,
bundle_0002,flame_blind,90,server,0.7597556837461825,0.7540481787294762,0.8939272463422814,0.0032222270965576,0.3038265705108642,0.329310655593872,,,,,
bundle_0002,flame_blind,91,server,0.7628096369189006,0.7608893178380941,0.8484203622104113,0.0028653144836425,0.2430152893066406,0.2687985897064209,,,,,
bundle_0002,flame_blind,92,server,0.7275195113674924,0.7242761641525811,0.9216250551325368,0.0037970542907714,0.2742996215820312,0.3012192249298095,,,,,
bundle_0002,flame_blind,93,server,0.7672209026128266,0.7642912085475007,0.8208672193741451,0.0025925636291503,0.2913346290588379,0.3167352676391601,,,,,
bundle_0002,flame_blind,94,server,0.7563624024431626,0.7526896943182387,0.9057359970501816,0.002852439880371,0.2520580291748047,0.2780051231384277,,,,,
bundle_0002,flame_blind,95,server,0.7655242619613166,0.7637728311012576,0.8786215767603144,0.0021848678588867,0.2477977275848388,0.2719430923461914,,,,,
bundle_0002,flame_blind,96,server,0.7607736681370886,0.7582355593177987,0.9237799940572012,0.0025291442871093,0.3813214302062988,0.4164402484893799,,,,,
bundle_0002,flame_blind,97,server,0.7740074652188667,0.7710768814398753,0.8171910433838802,0.0024142265319824,0.2736363410949707,0.2990124225616455,,,,,
bundle_0002,flame_blind,98,server,0.7583983712249746,0.7549470290600775,0.9205770787037466,0.0040109157562255,0.3611531257629394,0.3885881900787353,,,,,
bundle_0002,flame_blind,99,server,0.7882592466915507,0.782440319917693,0.8780748401612074,0.0023028850555419,0.256850004196167,0.2814669609069824,,,,,
bundle_0002,flame_blind,100,server,0.7736681370885646,0.7697544233928042,0.8164481534203878,0.0027923583984375,0.2480592727661132,0.2731683254241943,,,,,
bundle_0007,flame_blind,1,server,0.1985069562266712,0.0818890310354174,1.7646582182439905,0.0052149295806884,0.2410955429077148,0.2694242000579834,,,,,
bundle_0007,flame_blind,2,server,0.341703427214116,0.212124743613649,1.7045924067294995,0.0025904178619384,0.2651574611663818,0.2894761562347412,,,,,
bundle_0007,flame_blind,3,server,0.3474720054292501,0.1951449273522737,1.5135920653716968,0.0022189617156982,0.2793052196502685,0.3021502494812011,,,,,
bundle_0007,flame_blind,4,server,0.3786901934170342,0.2609683806061459,1.4234421247541196,0.0037367343902587,0.2589709758758545,0.2830209732055664,,,,,
bundle_0007,flame_blind,5,server,0.3573125212080081,0.2467910414822121,1.4094425249310076,0.0033743381500244,0.2487876415252685,0.2723398208618164,,,,,
bundle_0007,flame_blind,6,server,0.4099083814048184,0.3133703349237908,1.3519978492511584,0.0021834373474121,0.2482335567474365,0.2722353935241699,,,,,
bundle_0007,flame_blind,7,server,0.336613505259586,0.2248915465851758,1.4341621567202214,0.0066907405853271,0.242767333984375,0.2703132629394531,,,,,
bundle_0007,flame_blind,8,server,0.3949779436715304,0.2844729649887188,1.650221473530749,0.0025603771209716,0.2499966621398925,0.2731931209564209,,,,,
bundle_0007,flame_blind,9,server,0.3942992874109263,0.3010542346805246,1.370073383850367,0.0029568672180175,0.2571291923522949,0.2807636260986328,,,,,
bundle_0007,flame_blind,10,server,0.3841194435018663,0.2895286750976312,1.366944348322645,0.0020992755889892,0.2723486423492431,0.2956612110137939,,,,,
