component_run_id,experiment_id,run_id,file_timestamp,condition,defense,attack,raw_attack,model,dataset,repetition
server:time_20260722_184805,exp_1784760485,run_1784760485,20260722_184805,fedavg_run_01,fedavg,,,,,
server:time_20260723_125444,exp_1784825684,run_1784825684,20260723_125444,median_run_01,median,,,,,
server:time_20260723_131859,exp_1784827139,run_1784827139,20260723_131859,median_run_01,median,,,,,
server:time_20260723_112110,exp_1784820070,run_1784820070,20260723_112110,median_run_01,median,,,,,
server:time_20260723_115808,exp_1784822288,run_1784822288,20260723_115808,median_run_01,median,,,,,
server:time_20260723_122010,exp_1784823610,run_1784823610,20260723_122010,median_run_01,median,,,,,
server:time_20260723_183859,exp_1784846339,run_1784846339,20260723_183859,flame_run_01,flame,,,,,
server:time_20260723_190338,exp_1784847818,run_1784847818,20260723_190338,flame_run_01,flame,,,,,
server:time_20260723_163308,exp_1784838788,run_1784838788,20260723_163308,flame_run_01,flame,,,,,
server:time_20260723_165822,exp_1784840302,run_1784840302,20260723_165822,flame_run_01,flame,,,,,
server:time_20260723_171853,exp_1784841533,run_1784841533,20260723_171853,flame_run_01,flame,,,,,
server:time_20260723_175616,exp_1784843776,run_1784843776,20260723_175616,flame_run_01,flame,,,,,
server:time_20260722_213224,exp_1784770344,run_1784770344,20260722_213224,krum_run_01,krum,,,,,
server:time_20260722_215956,exp_1784771996,run_1784771996,20260722_215956,krum_run_01,krum,,,,,
server:time_20260722_200731,exp_1784765251,run_1784765251,20260722_200731,krum_run_01,krum,,,,,
server:time_20260722_204359,exp_1784767439,run_1784767439,20260722_204359,krum_run_01,krum,,,,,
server:time_20260722_210801,exp_1784768881,run_1784768881,20260722_210801,krum_run_01,krum,,,,,
server:time_20260723_153857,exp_1784835537,run_1784835537,20260723_153857,trimmed_mean_run_01,trimmed_mean,,,,,
server:time_20260723_160511,exp_1784837111,run_1784837111,20260723_160511,trimmed_mean_run_01,trimmed_mean,,,,,
server:time_20260723_135111,exp_1784829071,run_1784829071,20260723_135111,trimmed_mean_run_01,trimmed_mean,,,,,
server:time_20260723_141318,exp_1784830398,run_1784830398,20260723_141318,trimmed_mean_run_01,trimmed_mean,,,,,
